Season,Episode,Character,Line
1,Space Pilot 3000,Leela, Well that's tough! Lots of people don't like their jobs but we do them anyway. You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy.
1,Space Pilot 3000,Fry, Keep that thing away from me!
1,Space Pilot 3000,Leela," Hold still, dammit. I don't have good depth perception! You've got until the count of five to let me out of here. One--"
1,Space Pilot 3000,Fry, See you in a thousand years! You owe me one.
1,Space Pilot 3000,Fry, Whoa!
1,Space Pilot 3000,Man #1, JFK Jr. Airport.
1,Space Pilot 3000,Man #1, Radio City Mutant Hall.
1,Space Pilot 3000,Fry, Cool! Um. Cross Town Express?
1,Space Pilot 3000,Man #2, Pft! Tourist!
1,Space Pilot 3000,Fry, Hey! A phone booth! I can call my nephew. Wow! A real live robot! Or is that some kind of cheesy New Year's costume?
1,Space Pilot 3000,Bender, Bite my shiny metal ass.
1,Space Pilot 3000,Fry, It doesn't look so shiny to me.
1,Space Pilot 3000,Bender," Shinier than yours, meatbag!"
1,Space Pilot 3000,Bender," Listen, buddy, I'm in a hurry here. Let's try for a two-fer!"
1,Space Pilot 3000,Booth Voice," Please select mode of death  ""Quick and Painless"" or ""Slow and Horrible""."
1,Space Pilot 3000,Fry," Yeah, I'd like to place a collect call."
1,Space Pilot 3000,Booth Voice," You have selected  ""Slow and Horrible""."
1,Space Pilot 3000,Bender," Great choice! Bring it on, baby!"
1,Space Pilot 3000,Bender," C'mon, c'mon! Kill me already! By the way, my name's Bender!"
1,Space Pilot 3000,Fry, Help! What's happening?
1,Space Pilot 3000,Booth Voice," You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008."
1,Space Pilot 3000,Bender," Lousy, stinking rip-off! Well, I didn't have anything else planned for today. Let's go get drunk!"
1,Space Pilot 3000,Leela," Two, three-- Hey!"
1,Space Pilot 3000,Terry, Welcome to the world of tomorrow!
1,Space Pilot 3000,Leela," Shut up, Terry."
1,Space Pilot 3000,Ipgee," This is unacceptable, Leela. You must find this Mr. Fry and install his chip."
1,Space Pilot 3000,Leela," Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him."
1,Space Pilot 3000,Ipgee," Well that's your job, whether you like it or not. And it's my job to make you do your job whether I like it or not, which I do, very much! Now get to work! Life is good!"
1,Space Pilot 3000,Fry, Why would a robot need to drink?
1,Space Pilot 3000,Bender," I don't need to drink, I can quit anytime I want! So they made you a delivery boy, huh? Man, that's as bad as my job."
1,Space Pilot 3000,Fry," Really? What do you do, Bender?"
1,Space Pilot 3000,Bender," I'm a bender. I bend girders, that's all I'm programmed to do."
1,Space Pilot 3000,Fry, You any good at it?
1,Space Pilot 3000,Bender," You kidding? I was a star! I could bend a girder to any angle  30 degrees, 32 degrees, you name it! 31. But I couldn't go on living once I found out what the girders were for."
1,Space Pilot 3000,Fry, What?
1,Space Pilot 3000,Bender," Suicide booths! Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself."
1,Space Pilot 3000,Fry, Wait! You're the only friend I have!
1,Space Pilot 3000,Bender, You really want a robot for a friend?
1,Space Pilot 3000,Fry," Yeah, ever since I was six."
1,Space Pilot 3000,Bender," Well, OK. But I don't want people thinking we're robo-sexuals. So, if anyone asks, you're my debugger."
1,Space Pilot 3000,Fry," Oh, no, it's the Cyclops! Don't look! Don't look!"
1,Space Pilot 3000,Bender, I'm not looking!
1,Space Pilot 3000,Leela, This is officer 1B-DI requesting back-up.
1,Space Pilot 3000,Smitty, We'll be there in five minutes.
1,Space Pilot 3000,Bender, We can hide in here. It's free on Tuesdays!
1,Space Pilot 3000,Nimoy, Welcome to the Head Museum. I'm Leonard Nimoy.
1,Space Pilot 3000,Fry, Spock? Hey! Hey... Do the thing!
1,Space Pilot 3000,Nimoy, I don't do that anymore.
1,Space Pilot 3000,Fry, This is unbelievable! What do you heads do all day?
1,Space Pilot 3000,Nimoy, We share our wisdom with those who seek it. It's a life of quiet dignity.
1,Space Pilot 3000,Woman, Feeding time!
1,Space Pilot 3000,Leela," Hmm. I'm sorry, Fry, but I have to install your career chip."
1,Space Pilot 3000,Fry," Yeah, well, if you're sorry why are you doing it?"
1,Space Pilot 3000,Leela, It's my job. You gotta do what you gotta do! Watch it!
1,Space Pilot 3000,Nixon, That's it! You just made my list!
1,Space Pilot 3000,Fry," Ow! Stop it! Down, boy! Bad president!"
1,Space Pilot 3000,Smitty," Alright, buddy, step away from the head!"
1,Space Pilot 3000,URL, I'm gonna get 24th century on his ass!
1,Space Pilot 3000,Leela," Please, officers, there's no need to use force."
1,Space Pilot 3000,URL," Let us handle this, weird-y."
1,Space Pilot 3000,Leela," Oh, come on, he's just a poor kid from the Stupid Ages."
1,Space Pilot 3000,Smitty," Keep your big nose out of this, eyeball!"
1,Space Pilot 3000,Leela, No-one makes fun of my nose.
1,Space Pilot 3000,URL, Damn!
1,Space Pilot 3000,Leela, You guys were totally out of control.
1,Space Pilot 3000,Smitty, It's our job. We're peace officers.
1,Space Pilot 3000,URL," Yeah, you know the law  You gotta do what you gotta do."
1,Space Pilot 3000,Bender," Oh, we're trapped!"
1,Space Pilot 3000,Fry," Wait a second. You're a bender, right? We can get out of here if you just bend the bars."
1,Space Pilot 3000,Bender," Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?"
1,Space Pilot 3000,Fry, Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?
1,Space Pilot 3000,Bender, I'll have to check my program ... yep.
1,Space Pilot 3000,Leela, Open up!
1,Space Pilot 3000,Fry," C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals ... and animal robots."
1,Space Pilot 3000,Bender," You're full of crap, Fry! You make a persuasive argument, Fry."
1,Space Pilot 3000,Fry," Come on, Bender! You can do it."
1,Space Pilot 3000,Bender, Can't ... I ... can't ... do ... it!
1,Space Pilot 3000,Fry, Yes!
1,Space Pilot 3000,Bender," You were right, Fry! From now on I'm going to bend what I want, when I want, who I want! I'm unstoppable!"
1,Space Pilot 3000,Fry, I don't know how you did that.
1,Space Pilot 3000,Leela, Wait!
1,Space Pilot 3000,Bender," No, thanks."
1,Space Pilot 3000,Bender, Looks like one of us will have to bend this grate.
1,Space Pilot 3000,Fry, Good Lord! What is this?
1,Space Pilot 3000,Bender," It's the decaying ruins of Old New York. Welcome home, pal!"
1,Space Pilot 3000,Fry," It's my old neighbourhood. Man, this brings back a lot of memories."
1,Space Pilot 3000,Bender," Keep 'em to yourself, Pops!"
1,Space Pilot 3000,Fry, This is where I brought my girlfriend on our very first date.
1,Space Pilot 3000,Fry, My God! She's gone. Everyone I ever knew or cared about is gone.
1,Space Pilot 3000,Bender, Wait! There's someone you know!
1,Space Pilot 3000,Fry," Oh, can't you leave me alone? I'm miserable enough already."
1,Space Pilot 3000,Leela," Look, I know it's not much consolation but I understand how you feel."
1,Space Pilot 3000,Fry," No, you don't. I've got no home, no family--"
1,Space Pilot 3000,Bender, No friends.
1,Space Pilot 3000,Fry, My whole world is gone. You can't possibly understand what it feels like to be so alone.
1,Space Pilot 3000,Leela, I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.
1,Space Pilot 3000,Fry," Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it. Your chip. What are you doing?"
1,Space Pilot 3000,Leela, Quitting.
1,Space Pilot 3000,Fry, Why?
1,Space Pilot 3000,Leela, Because I've always wanted to. I just never realised it before I met you.
1,Space Pilot 3000,Fry, What is the matter with you?
1,Space Pilot 3000,Bender, I just wanted to be part of the moment.
1,Space Pilot 3000,Leela, Hey! He stole my ring!
1,Space Pilot 3000,Bender," Sorry. Well, that solves the mystery of the missing ring. This calls for a drink."
1,Space Pilot 3000,Leela, I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.
1,Space Pilot 3000,Fry, Correction  We're unemployed but we have a doddering old relative to mooch off of.
1,Space Pilot 3000,Clark," Hello, I'm Dick Clark's head. Welcome to a special year 3000 edition of New Year's Rockin' Eve!"
1,Space Pilot 3000,Farnsworth, Who are you?
1,Space Pilot 3000,Fry, I'm your dear old Uncle Fry.
1,Space Pilot 3000,Farnsworth, I don't have an Uncle Fry.
1,Space Pilot 3000,Bender, You do now!
1,Space Pilot 3000,Farnsworth," By God, I am your nephew! This is absolutely incredible!"
1,Space Pilot 3000,Bender, Can we have some money?
1,Space Pilot 3000,Farnsworth," Oh, my, no."
1,Space Pilot 3000,Farnsworth, Let me show you around. That's my lab table and this is my work-stool. And over there is my intergalactic spaceship! And here's where I keep assorted lengths of wire.
1,Space Pilot 3000,Fry, Whoa! A real live spaceship!
1,Space Pilot 3000,Farnsworth, I designed it myself. Let me show you some of the different lengths of wire I used.
1,Space Pilot 3000,Smitty," Attention, job deserters! Come out with your hands up. We have you partially surrounded."
1,Space Pilot 3000,Fry, No!
1,Space Pilot 3000,Nixon, Get those bums!
1,Space Pilot 3000,Bender," Well, we're boned!"
1,Space Pilot 3000,Leela, Can't we get away in the ship?
1,Space Pilot 3000,Farnsworth, I suppose it is technically possible. Though I am already in my pyjamas.
1,Space Pilot 3000,Fry, I'll get us out of here.
1,Space Pilot 3000,Farnsworth, Can anyone drive stick?
1,Space Pilot 3000,Leela, I can. As long as I don't have to parallel park.
1,Space Pilot 3000,URL," If they try to take off, give 'em an ass-ful of laser."
1,Space Pilot 3000,Leela, Prepare for lift-off. Ten.
1,Space Pilot 3000,Crowd, Nine!
1,Space Pilot 3000,Crowd, Amania!
1,Space Pilot 3000,Crowd, Seven!
1,Space Pilot 3000,Aliens, Six.
1,Space Pilot 3000,Terry, Five!
1,Space Pilot 3000,Nimoy, Four.
1,Space Pilot 3000,Farnsworth, Three.
1,Space Pilot 3000,Bender, Two.
1,Space Pilot 3000,Leela, One!
1,Space Pilot 3000,Fry, Blast-off!
1,Space Pilot 3000,Nixon, Fire! Fire!
1,Space Pilot 3000,Smitty, I can't see nothing. Pretty though!
1,Space Pilot 3000,Fry," So, I guess, without jobs, we'll be fugitives forever."
1,Space Pilot 3000,Farnsworth," Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?"
1,Space Pilot 3000,Bender, New crew? W-What happened to the old crew?
1,Space Pilot 3000,Farnsworth, Of those poor sons of-- But that's not important. The important thing is I need a new crew. Anyone interested?
1,Space Pilot 3000,Fry, Yes! Yes! That's exactly the job I've always wanted!
1,Space Pilot 3000,Leela," Thanks for the offer, Professor, but we don't have the proper career chips."
1,Space Pilot 3000,Farnsworth," Oh, that won't be a problem. As luck would have it, I saved the chips from my previous crew."
1,Space Pilot 3000,Fry, This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?
1,Space Pilot 3000,Farnsworth," If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research."
1,Space Pilot 3000,Fry, Cool! What's my job gonna be?
1,Space Pilot 3000,Farnsworth, You will be responsible for ensuring that the cargo reaches its destination.
1,Space Pilot 3000,Fry," So, I'm gonna be a delivery boy?"
1,Space Pilot 3000,Farnsworth, Exactly!
1,Space Pilot 3000,Fry, Alright! I'm a delivery boy!
1,A Flight to Remember,Leela, That was the worst delivery ever.
1,A Flight to Remember,Fry," Yeah. I'm never going to another planet called ""Cannibalon""!"
1,A Flight to Remember,Bender," Me neither. Food was good, though."
1,A Flight to Remember,Farnsworth," Oh, great news, everyone."
1,A Flight to Remember,Bender, Shove it! We quit!
1,A Flight to Remember,Farnsworth, In that case I'll have to hire a new crew to go on our company vacation.
1,A Flight to Remember,Leela, Vacation?
1,A Flight to Remember,Bender, Alright!
1,A Flight to Remember,Fry, This is great! I haven't had time off since I was 21 through 24.
1,A Flight to Remember,Farnsworth, It's just my way of thanking you for not reporting my countless violations of safety and minimum wage laws.
1,A Flight to Remember,Bender," Aww, you!"
1,A Flight to Remember,Farnsworth," I've booked us all on the maiden voyage of the largest, most luxurious space cruise ship ever built. The Titanic!"
1,A Flight to Remember,Leela, Looks nice.
1,A Flight to Remember,Fry," Hey, uh, where's my suitcase? Ow!"
1,A Flight to Remember,Poopenmeyer," As Mayor of New New York, it's my pleasure to introduce the honorary captain for the Titanic's maiden voyage. A man who single-handedly defeated the Retiree People of the Assisted Living Nebula  Zapp Brannigan!"
1,A Flight to Remember,Leela," Oh, God! Not Zapp Brannigan!"
1,A Flight to Remember,Zoidberg, You know Zapp Brannigan?
1,A Flight to Remember,Leela," Let's just say we've ""crossed paths""."
1,A Flight to Remember,Bender, Was that before or after you slept with him?
1,A Flight to Remember,Zapp," She's a beautiful ship, alright. Shapely ... seductive. I'm gonna fly her brains out. And now, without further adieu, I christen this ship, Titanic."
1,A Flight to Remember,Zapp," Well, well, well! The Lady Leela. Take notes, Kif. You're about to witness the subtle waltz known as seduction. So, trapped on a ship with me. What say you and I knock some very sensual boots?"
1,A Flight to Remember,Leela," It's tempting, but, uh, I have a fiancé now. Uh, hmm, uh, hmm, uh, we--, uh ... Him! Fry, darling, meet Zapp Brannigan."
1,A Flight to Remember,Fry, Huh? Ooh! How do you do?
1,A Flight to Remember,Farnsworth," Ah, here's my stateroom."
1,A Flight to Remember,Bender," Come on, where is it?"
1,A Flight to Remember,Farnsworth," Now, Hermes, you and your lovely wife, LaBarbara, have the suite through there. And Dr. Zoidberg, your marble tank is on the other side."
1,A Flight to Remember,Fry," Man, first class seems nice!"
1,A Flight to Remember,Farnsworth, It'll seem even nicer once you've seen your room.
1,A Flight to Remember,Amy, Looks like we're on the Fiesta Deck.
1,A Flight to Remember,Leela, This is it.
1,A Flight to Remember,Fry, Well at least we get a window!
1,A Flight to Remember,Bender," Well, I'm tired of this room and everyone in it. If you'll excuse me, I'm gonna pop over to the casino for the next 135 hours!"
1,A Flight to Remember,Amy, I think I'll go and fill up on bisque at the buffet.
1,A Flight to Remember,Fry, I guess that just leaves you and your fake fianc´ ... all alone ... on a romantic cruise.
1,A Flight to Remember,Leela, Take it off or I'll break it off.
1,A Flight to Remember,Fry, OK!
1,A Flight to Remember,Zapp, Captain's inspection!
1,A Flight to Remember,Bender," Hmm. I'm bettin' it all! Come on, baby needs a new pair of feet!"
1,A Flight to Remember,Croupier, Snake eyes.
1,A Flight to Remember,Bender, No! My cheating unit malfunctioned! You gotta give me a do-over!
1,A Flight to Remember,Croupier," Sorry, the house limit is three do-overs. Next shooter."
1,A Flight to Remember,Bender," Gimmie you're biggest, strongest, cheapest drink."
1,A Flight to Remember,iZac, You got it!
1,A Flight to Remember,Bender, Allow me to introduce myself. I'm Bender.
1,A Flight to Remember,Countess, Charmed. I'm the Countess de la Roca. I was surprised to see another robot staying in first class. Most of the robots I meet are labourers.
1,A Flight to Remember,Bender," I assure you, I barely know the meaning of the word ""labour""."
1,A Flight to Remember,Countess," Oh, Mr. Bender!"
1,A Flight to Remember,Bender," Please, call me Bender."
1,A Flight to Remember,Countess," Oh, goodness. I don't--"
1,A Flight to Remember,Zapp," Kif, I'm feeling the captain's itch."
1,A Flight to Remember,Kif," I'll get the powder, sir."
1,A Flight to Remember,Zapp," No, the itch for adventure! Prepare to change course."
1,A Flight to Remember,Kif," Sir, this is a leisure cruise. Our path was set by the travel agency."
1,A Flight to Remember,Zapp, That's for schoolgirls! Now here's a route with some chest hair.
1,A Flight to Remember,Kif, But that course leads directly through a swarm of comets.
1,A Flight to Remember,Zapp," Yes, comets! The icebergs of the sky. By jack-knifing from one to the next at breakneck speed we might just get some kind of gravity boost ... or something. It's time to shove a jalapeño up this ships tailpipe. Divert power from the shields, full speed ahead!"
1,A Flight to Remember,Amy," Oh, yeah!"
1,A Flight to Remember,Mrs. Wong, Amy! Hello!
1,A Flight to Remember,Amy, Mom? Dad? What are you doing here?
1,A Flight to Remember,Mr. Wong," We were planning on enjoying a relaxing vacation. But since you're here, we'll have to do some meddling."
1,A Flight to Remember,Mrs. Wong, We met the nicest boy in the cabin next to ours.
1,A Flight to Remember,Mr. Wong, He's not very ugly.
1,A Flight to Remember,Mrs. Wong, You should marry him! Or at least use him to conceive a grandchild for us.
1,A Flight to Remember,Mr. Wong, There he is at the buffet!
1,A Flight to Remember,Amy," Uh, he seems really nice but, well, I already have a boyfriend."
1,A Flight to Remember,Mrs. Wong, Really? Where is he?
1,A Flight to Remember,Mr. Wong, And why isn't he here right now fathering our grandchild?
1,A Flight to Remember,Amy, Uh...
1,A Flight to Remember,Leela," Well, our accommodations aren't great, but it sure is beautiful out here."
1,A Flight to Remember,Fry," Yeah, it's pretty romantic-- Uh, I mean platonic. Th-That sure is one platonic view!"
1,A Flight to Remember,Leela," Fry, just be quiet. I'm beginning to think this whole fake fiancé thing was a terrible, terrible--"
1,A Flight to Remember,Fry, Hmm? Mmm!
1,A Flight to Remember,Zapp," Leela, perhaps this is an awkward time but if things don't work out with this pipsqueak here ... ... I just want you to know I'll be there to score you on the rebound."
1,A Flight to Remember,Leela," Uh, look, before you get any crazy ideas, that was for Zapp."
1,A Flight to Remember,Fry," Well, you got anything else for him?"
1,A Flight to Remember,Leela," Alright, can we try not to complicate this?"
1,A Flight to Remember,Amy," Mom, Dad, I'd like you to meet Fry, my boyfriend."
1,A Flight to Remember,Fry, Hmm? Mmm!
1,A Flight to Remember,Fry," See you later, wuvvums!"
1,A Flight to Remember,Leela, It would have been nice if you'd told me you were going out with Amy.
1,A Flight to Remember,Fry," I'm not going out with Amy. It's just to fool her parents. Hey, you're not jealous, are you?"
1,A Flight to Remember,Leela, What? No. No! Of course not!
1,A Flight to Remember,Fry," Good, 'cause I consider my fake relationship with you a lot more meaningful."
1,A Flight to Remember,Countess, Mind if I freshen up a bit before we go out?
1,A Flight to Remember,Bender, I was just about to suggest the same thing. Pay dirt!
1,A Flight to Remember,Countess," Lovely, isn't it?"
1,A Flight to Remember,Bender, Yeah. But only 93% as lovely as you.
1,A Flight to Remember,Countess," Oh, Bender! Either that was a computing error or you're the most romantic robot I've ever met!"
1,A Flight to Remember,Bender," I don't get it, iZac; that bracelet had a diamond the size of a racoon's brain. Why couldn't I steal it?"
1,A Flight to Remember,iZac," It's obvious, Mr. B. You're in love."
1,A Flight to Remember,Bender," Oh, it's true. But we're star-crossed robots. She, a countess, built with a silver spoon in her mouth. And me, just a regular honest Joe."
1,A Flight to Remember,iZac," Hey, you gonna pay for those?"
1,A Flight to Remember,Bender," Hell, no!"
1,A Flight to Remember,iZac, Security to bar area. Security to bar area.
1,A Flight to Remember,Bender," Fellas, please. I'm in love!"
1,A Flight to Remember,iZac, Rough him up!
1,A Flight to Remember,Countess, What are you doing?
1,A Flight to Remember,iZac," This penniless chump was stealing drinks, ma'am."
1,A Flight to Remember,Countess," I see. Here you are, sir. Keep the change."
1,A Flight to Remember,iZac, You got it!
1,A Flight to Remember,Zoidberg, Aha!
1,A Flight to Remember,Fry," Go, Professor!"
1,A Flight to Remember,Amy, Lean back more!
1,A Flight to Remember,Farnsworth, Ow!
1,A Flight to Remember,LaBarbara," Come on, Hermes, you could out-limbo all of these people!"
1,A Flight to Remember,Hermes," Don't be a dog heart, woman. You know I can't. Not after what happened."
1,A Flight to Remember,Announcer," Now limbo-ing for the Earth team, Hermes Conrad."
1,A Flight to Remember,Boy," You're my hero, Hermes! I'm gonna be just like you!"
1,A Flight to Remember,Hermes," No, boy, stop! It's too low! Your backbone can't take it!"
1,A Flight to Remember,Boy, I'm just like Hermes! I'm just like--
1,A Flight to Remember,Hermes, Nooo!
1,A Flight to Remember,LaBarbara," There, there. Now you don't have to limbo if you don't want. It doesn't make you any less of a man."
1,A Flight to Remember,Farnsworth, Though it did get me some action!
1,A Flight to Remember,Hattie, I like a man who's flexible!
1,A Flight to Remember,Zapp," Your attention, please. As captain of this vessel, the terrible burden of naming a limbo contest winner is mine and mine alone."
1,A Flight to Remember,Kif, Shouldn't you be steering between the comets?
1,A Flight to Remember,Zapp," And the winner is, Leela!"
1,A Flight to Remember,Leela, But I didn't even limbo.
1,A Flight to Remember,Zapp," No matter. I know from personal experience how horizontal you can get. As your reward, you and that hairpile are invited to dine at the captain's table this evening."
1,A Flight to Remember,Bender," Well, now you know. I'm not actually rich. I'm a fraud. A poor, lazy, sexy fraud. This isn't even a real bow-tie, it's magnetic."
1,A Flight to Remember,Countess," Bender, I don't care whether you have money. I love you for your artificial intelligence and your sincerity simulator."
1,A Flight to Remember,Bender, You do? Really?
1,A Flight to Remember,Zapp," I like your style, Fry. You remind me of a young me. Not much younger, mind you. Perhaps even a couple of years older."
1,A Flight to Remember,Fry," Thank you, sir."
1,A Flight to Remember,Zapp," As a gentleman, I must warn you. If you so much as glance at another woman, I'll be all over Leela like a fly on a pile of very seductive manure."
1,A Flight to Remember,Fry," Well, rest assured, Leela's the only girl for me."
1,A Flight to Remember,Amy," Hey, Fry."
1,A Flight to Remember,Leela, Amy!
1,A Flight to Remember,Amy, Leela!
1,A Flight to Remember,Zapp," Ah, the family Wong. Our party is complete."
1,A Flight to Remember,Leela, What are we gonna do? Fry can't pretend to be both our boyfriends.
1,A Flight to Remember,Fry, Sure I can. I learned how to handle delicate social situations from a little show called Three's Company.
1,A Flight to Remember,Zapp, I'd like to impose a toast on the happy couple. Down the hatch!
1,A Flight to Remember,Mrs. Wong," Hear, hear! Now let's have a kiss!"
1,A Flight to Remember,Zapp," Yes, Fry. Plant one on your woman."
1,A Flight to Remember,Fry," Um, let me think. Come and knock on our door, nuh, nuh, nuh, nuh, nuh, nuh. Uh, Mr. Roper--"
1,A Flight to Remember,Mr. Wong, What's the hold up? Kiss my daughter already!
1,A Flight to Remember,Farnsworth," Wait, I'm confused. Now tell me, Fry, which one of these ladies are you involved with?"
1,A Flight to Remember,Fry, Uh...
1,A Flight to Remember,Kif," Captain, may I have a word with you?"
1,A Flight to Remember,Zapp, No.
1,A Flight to Remember,Kif," It's an emergency, sir."
1,A Flight to Remember,Zapp," Come back when it's a catastrophe. Oh, very well."
1,A Flight to Remember,Amy," Well, with Zapp gone and my parents still here, I suggest Fry give me a nice, convincing kiss."
1,A Flight to Remember,Fry," Ah, now there's something we can all enjoy."
1,A Flight to Remember,Kif," Sir, remember your course correction?"
1,A Flight to Remember,Zapp, No.
1,A Flight to Remember,Kif, Well it's proving somewhat more suicidal than we'd initially hoped.
1,A Flight to Remember,Zapp," Kif, old friend, I don't know which disgusts me more  Your cowardice or your stupidity! We'll simply set a new course for that empty region over there. Near that black-ish hole-ish thing."
1,A Flight to Remember,Fry," Hey, Leela, why'd you run off from dinner?"
1,A Flight to Remember,Leela, I didn't run off. I had plenty of time to finish eating and stroll away while you were kissing Amy.
1,A Flight to Remember,Fry," Oh, look, I'm not actually interested in her if that's what's bothering you."
1,A Flight to Remember,Leela," Oh, are you sure? I mean, she has two eyes, you have two eyes."
1,A Flight to Remember,Fry," I know, we seem like a perfect match, but I just don't feel that way about her."
1,A Flight to Remember,Leela, Nice nebula.
1,A Flight to Remember,Fry, Yeah.
1,A Flight to Remember,Leela, Look's like everybody's got somebody. Except me.
1,A Flight to Remember,Fry, And me.
1,A Flight to Remember,Leela," What was that? Oh, my God! We're heading straight into a black hole."
1,A Flight to Remember,Fry, Talk about a mood killer!
1,A Flight to Remember,Zapp," Don't blame yourself, Kif. We were doomed from the start. Nothing remains now but for the captain to go down with his ship."
1,A Flight to Remember,Kif," Why, that's surprisingly noble of you, sir."
1,A Flight to Remember,Zapp," No, it's noble of you, Kif! As of now ... ... you're in command. Congratulations, captain!"
1,A Flight to Remember,Leela, OK. We just have to get from here to the escape pods.
1,A Flight to Remember,Farnsworth, I'm too young to die!
1,A Flight to Remember,Leela," Come on, before it's too late!"
1,A Flight to Remember,Bender," You all go without me. I'm gonna take one last look around. You know, for, uh, stuff to steal."
1,A Flight to Remember,Fry," You're going back or the Countess, aren't you?"
1,A Flight to Remember,Bender," Alright, I am. But I don't want the others to know. If I don't come back, just say I died robbing some old man."
