Season,Episode,Episode in Season,Title,Director(s),Writer(s),Air Date,Opening Line
3,45,13,Bendin' in the Wind,Ron Hughart,Eric Horsted,"(April 22, 2001)", Federal Law Prohibits Changing The Channel.
3,46,14,Time Keeps On Slippin',Chris Louden,Ken Keeler,"(May 6, 2001)"," For Proper Viewing, Take Red Pill Now."
3,47,15,I Dated a Robot,James Purdum,Eric Kaplan,"(May 13, 2001)", No Humans Were Probed In The Making Of This Episode.
3,48,16,A Leela of Her Own,Swinton O. Scott III,Patric M. Verrone,"(April 7, 2002)", Scratch Here To Reveal Prize.
3,49,17,A Pharaoh to Remember,Mark Ervin,Ron Weiner,"(March 10, 2002)", Psst ... Big Party At Your House After The Show!
3,50,18,Anthology of Interest II,Bret Haaland,Lewis MortonDavid X. CohenJason Gorbett & Scott Kirby,"(January 6, 2002)"," Hey, TiVo! Suggest this!"
3,51,19,Roswell That Ends Well,Rich Moore,J. Stewart Burns,"(December 9, 2001)", Fun For The Whole Family. Except Grandma And Grandpa.
3,52,20,Godfellas,Susie Dietter,Ken Keeler,"(March 17, 2002)", Please Turn Off All Cell Phones And Tricorders.
3,53,21,Future Stock,Brian Sheesley,Aaron Ehasz,"(March 31, 2002)", Love It Or Shove It.
3,54,22,The 30% Iron Chef,Ron Hughart,Jeff Westbrook,"(April 14, 2002)"," If Accidentally Watched, Induce Vomiting."
4,55,1,Kif Gets Knocked Up a Notch,Wes Archer,Bill Odenkirk,"(January 12, 2003)", Bigfoot's Choice.
4,56,2,Leela's Homeworld,Mark Ervin,Kristin Gore,"(February 17, 2002)"," It's Like ""Hee-Haw"" With Lasers."
4,57,3,Love and Rocket,Brian Sheesley,Dan Vebber,"(February 10, 2002)"," When You See The Robot, Drink!"
4,58,4,Less Than Hero,Susie Dietter,Ron Weiner,"(March 2, 2003)", Soon To Be A Major Religion.
4,59,5,A Taste of Freedom,James Purdum,Eric Horsted,"(December 22, 2002)", Or Is It?
4,60,6,Bender Should Not Be Allowed on TV,Ron Hughart,Lewis Morton,"(August 3, 2003)", Controlling You Through A Chip In Your Butt Since 1999.
4,61,7,Jurassic Bark,Swinton O. Scott III,Eric Kaplan,"(November 17, 2002)", Not Affiliated With Futurama Brass Knuckle Co.
4,62,8,Crimes of the Hot,Peter Avanzino,Aaron Ehasz,"(November 10, 2002)", Known To Cause Insanity In Laboratory Mice.
4,63,9,Teenage Mutant Leela's Hurdles,Bret Haaland,Jeff Westbrook,"(March 30, 2003)", Now Interactive! Joystick Controls Fry's Left Ear!
4,64,10,The Why of Fry,Wes Archer,David X. Cohen,"(April 6, 2003)", Dancing Space Potatoes? You Bet!
4,65,11,Where No Fan Has Gone Before,Patty Shinagawa,David A. Goodman,"(April 21, 2002)", Where No Fan Has Gone Before.
4,66,12,The Sting,Brian Sheesley,Patric M. Verrone,"(June 1, 2003)", A By-Product Of The TV Industry.
4,67,13,Bend Her,James Purdum,Michael Rowe,"(July 20, 2003)", Too Hot For Radio.
4,68,14,Obsoletely Fabulous,Dwayne Carey-Hill,Dan Vebber,"(July 27, 2003)", You Can't Prove It Won't Happen.
4,69,15,The Farnsworth Parabox,Ron Hughart,Bill Odenkirk,"(June 8, 2003)", Beats A Hard Kick In The Face.
4,70,16,Three Hundred Big Boys,Swinton O. Scott III,Eric Kaplan,"(June 15, 2003)"," Voted ""Best""."
4,71,17,Spanish Fry,Peter Avanzino,Ron Weiner,"(July 13, 2003)"," Thanks For Watching, Futurama Slave Army (in AL1)."
4,72,18,The Devil's Hands Are Idle Playthings,Bret Haaland,Ken Keeler,"(August 10, 2003)"," See You On Some Other Channel. Above the caption Fry, Bender and Leela are heroes in an oval."
5,73,1,Bender's Big Score Part 1,Dwayne Carey-Hill,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2008-03-23), It just won't stay dead!
5,74,2,Bender's Big Score Part 2,Dwayne Carey-Hill,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2008-03-23)," Watch, Rinse, Repeat"
5,75,3,Bender's Big Score Part 3,Dwayne Carey-Hill,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2008-03-23), Apply directly to the foreclaw
5,76,4,Bender's Big Score Part 4,Dwayne Carey-Hill,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2008-03-23), Last known transmission of the Hubble Telescope
5,77,5,The Beast with a Billion Backs Part 1,Peter Avanzino,Story by: Eric Kaplan & David X. Cohen Teleplay by: Eric Kaplan,(2008-10-19), The Proud Result Of Prison Labor.
5,78,6,The Beast with a Billion Backs Part 2,Peter Avanzino,Story by: Eric Kaplan & David X. Cohen Teleplay by: Eric Kaplan,(2008-10-19), It Makes a Nice Sandwich
5,79,7,The Beast with a Billion Backs Part 3,Peter Avanzino,Story by: Eric Kaplan & David X. Cohen Teleplay by: Eric Kaplan,(2008-10-19),1.00E+14
5,80,8,The Beast with a Billion Backs Part 4,Peter Avanzino,Story by: Eric Kaplan & David X. Cohen Teleplay by: Eric Kaplan,(2008-10-19), The Robots are Coming! The Robots are Coming!
5,81,9,Bender's Game Part 1,Dwayne Carey-Hill,Story by: Eric Horsted & David X. Cohen Teleplay by: Eric Horsted & Michael Rowe & David X. Cohen & Patric M. Verrone,(2009-04-26),
5,82,10,Bender's Game Part 2,Dwayne Carey-Hill,Story by: Eric Horsted & David X. Cohen Teleplay by: Eric Horsted & Michael Rowe & David X. Cohen & Patric M. Verrone,(2009-04-26),"The episode they'll be thinking about by the water cooler, but not mentioning specifically"
5,83,11,Bender's Game Part 3,Dwayne Carey-Hill,Story by: Eric Horsted & David X. Cohen Teleplay by: Eric Horsted & Michael Rowe & David X. Cohen & Patric M. Verrone,(2009-04-26),Current eBay Bid: $8.51
5,84,12,Bender's Game Part 4,Dwayne Carey-Hill,Story by: Eric Horsted & David X. Cohen Teleplay by: Eric Horsted & Michael Rowe & David X. Cohen & Patric M. Verrone,(2009-04-26),Collect all fifty billion!
5,85,13,Into the Wild Green Yonder Part 1,Peter Avanzino,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2009-08-30),
5,86,14,Into the Wild Green Yonder Part 2,Peter Avanzino,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2009-08-30),"If you can read this, thank us!"
5,87,15,Into the Wild Green Yonder Part 3,Peter Avanzino,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2009-08-30),Now available without a prescription
5,88,16,Into the Wild Green Yonder Part 4,Peter Avanzino,Story by: Ken Keeler & David X. Cohen Teleplay by: Ken Keeler,(2009-08-30),[in AL1] The humans shall not defeat us
6,89,1,Rebirth,Frank Marino,Story by: David X. Cohen & Matt Groening Teleplay by: David X. Cohen,"(June 24, 2010)",
6,90,2,In-A-Gadda-Da-Leela,Dwayne Carey-Hill,Story by: Carolyn Premish & Matt Groening Teleplay by: Carolyn Premish,"(June 24, 2010)","""The Transcredible Exploits of Zapp Brannigan - Brought to You by Bartley's Rocket Wax"""
6,91,3,Attack of the Killer App,Stephen Sandoval,Patric M. Verrone,"(July 1, 2010)",
6,92,4,Proposition Infinity,Crystal Chesney-Thompson,Michael Rowe,"(July 8, 2010)", Dictated But Not Read.
6,93,5,The Duh-Vinci Code,Raymie Muzquiz,Maiya Williams,"(July 15, 2010)", Put on 3-D monocle now.
6,94,6,Lethal Inspection,Ray Claffey,Eric Horsted,"(July 22, 2010)", Made you look!
6,95,7,The Late Philip J. Fry,Peter Avanzino,Lewis Morton,"(July 29, 2010)"," If you don't watch it, someone else will."
6,96,8,That Darn Katz!,Frank Marino,Josh Weinstein,"(August 5, 2010)", (Or similar product).
6,97,9,A Clockwork Origin,Dwayne Carey-Hill,Dan Vebber,"(August 12, 2010)"," This time, it's personal."
6,98,10,The Prisoner of Benda,Stephen Sandoval,Ken Keeler,"(August 19, 2010)", What happens in Cygnus X-1 Stays in Cygnus X-1.
6,99,11,Lrrreconcilable Ndndifferences,Crystal Chesney-Thompson,Patric M. Verrone,"(August 26, 2010)", Two scoops of pixels in every scene.
6,100,12,The Mutants Are Revolting,Raymie Muzquiz,Eric Horsted,"(September 2, 2010)",100
6,101,13,The Futurama Holiday Spectacular,Ray Claffey,Michael Rowe,"(November 21, 2010)",
6,102,14,The Silence of the Clamps,Frank Marino,Eric Rogers,"(July 14, 2011)", NO REFUNDS
6,103,15,Möbius Dick,Dwayne Carey-Hill,Dan Vebber,"(August 4, 2011)"," FEATURING SPARKY, THE INVISIBLE ELF"
6,104,16,Law and Oracle,Stephen Sandoval,Josh Weinstein,"(July 7, 2011)", FOR THE SOPHISTICATED SHUT-IN
6,105,17,Benderama,Crystal Chesney-Thompson,Aaron Ehasz,"(June 23, 2011)"," OTHERS ASK, ""WHAT IF?"" WE ASK, ""WHY IF."""
6,106,18,The Tip of the Zoidberg,Raymie Muzquiz,Ken Keeler,"(August 18, 2011)", IT'S TENTACULAR!
6,107,19,Ghost in the Machines,Ray Claffey,Patric M. Verrone,"(June 30, 2011)", #1 MOST VIEWED SHOW AMONG VIEWBOTS
6,108,20,Neutopia,Edmund Fong,J. Stewart Burns,"(June 23, 2011)", PROVIDES A FULL DAY'S SUPPLY OF VITAMIN F!
6,109,21,Yo Leela Leela,Frank Marino,Eric Horsted,"(July 21, 2011)", PENETRATES EVEN THE THICKEST FOIL HAT
6,110,22,Fry Am the Egg Man,Dwayne Carey-Hill,Michael Rowe,"(August 11, 2011)", THE ONE BRIGHT SPOT IN YOUR LIFE!
6,111,23,All the Presidents' Heads,Stephen Sandoval,Josh Weinstein,"(July 28, 2011)", APPLY VIEWING OIL NOW
6,112,24,Cold Warriors,Crystal Chesney-Thompson,Dan Vebber,"(August 25, 2011)"," WE'RE FOLLOWING YOU, BUT NOT ON TWITTER"
6,113,25,Overclockwise,Raymie Muzquiz,Ken Keeler,"(September 1, 2011)", SOON TO BE A HIT TELEVISION SHOW
6,114,26,Reincarnation,Peter Avanzino,Aaron Ehasz,"(September 8, 2011)", REINCARNATION
7,115,1,The Bots and the Bees,Stephen Sandoval,Eric Horsted,(2012-06-20),
7,116,2,A Farewell to Arms,Raymie Muzquiz,Josh Weinstein,(2012-06-20),Ask your doctor if Futurama is right for you
7,117,3,Decision 3012,Dwayne Carey-Hill,Patric M. Verrone,(2012-06-27),Made from 100% recycled pixels
7,118,4,The Thief of Baghead,Edmund Fong,Dan Vebber,(2012-07-04),
7,119,5,Zapp Dingbat,Frank Marino,Eric Rogers,(2012-07-11),
7,120,6,The Butterjunk Effect,Crystal Chesney-Thompson,Michael Rowe,(2012-07-18),
7,121,7,The Six Million Dollar Mon,Peter Avanzino,Ken Keeler,(2012-07-25),
7,122,8,Fun on a Bun,Stephen Sandoval,Dan Vebber,(2012-08-01),
7,123,9,Free Will Hunting,Raymie Muzquiz,David X. Cohen,(2012-08-08),
7,124,10,Near-Death Wish,Lance Kramer,Eric Horsted,(2012-08-15),
7,125,11,31st Century Fox,Edmund Fong,Patric M. Verrone,(2012-08-29),
7,126,12,Viva Mars Vegas,Frank Marino,Josh Weinstein,(2012-08-22),
7,127,13,Naturama,Crystal Chesney-Thompson,Eric Rogers & Michael Saikin & Neil Mukhopadhyay,(2012-08-29),
7,128,14,Forty Percent Leadbelly,Stephen Sandoval,Ken Keeler,(2013-07-03),
7,129,15,2-D Blacktop,Raymie Muzquiz,Michael Rowe,(2013-06-19),
7,130,16,T.: The Terrestrial,Lance Kramer,Josh Weinstein,(2013-06-26),
7,131,17,Fry and Leela's Big Fling,Edmund Fong,Eric Rogers,(2013-06-19),
7,132,18,The Inhuman Torch,Frank Marino,Dan Vebber,(2013-07-10),
7,133,19,Saturday Morning Fun Pit,Crystal Chesney-Thompson,Patric M. Verrone,(2013-07-17),
7,134,20,Calculon 2.0,Stephen Sandoval,Lewis Morton,(2013-07-24),
7,135,21,Assie Come Home,Raymie Muzquiz,Maiya Williams,(2013-07-31),
7,136,22,Leela and the Genestalk,Lance Kramer,Eric Horsted,(2013-08-07),
7,137,23,Game of Tones,Edmund Fong,Michael Rowe,(2013-08-14),
7,138,24,Murder on the Planet Express,Frank Marino,Lewis Morton,(2013-08-21),
7,139,25,Stench and Stenchibility,Crystal Chesney-Thompson,Eric Horsted,(2013-08-28),
7,140,26,Meanwhile,Peter Avanzino,Ken Keeler,(2013-09-04),
